label,email_text,email_text_clean
ham,I will take care of financial problem.i will help:),take care financial problemi help
spam,"Refund Confirmation Required

You are eligible for a refund from FedEx, but we could not verify your bank information.

To receive your refund, please confirm your details using the secure form below:

https://netflix-security-check.com/confirm-refund

If you do not confirm within 6 hours, the refund will be cancelled.

Sincerely,
FedEx Refunds Team",refund confirmation requiredyou are eligible for a refund from fedex but we could not verify your bank informationto receive your refund please confirm your details using the secure form below you do not confirm within hours the refund will be cancelledsincerelyfedex refunds team
ham,But you dint in touch with me.,dint touch
spam,"Customs Clearance Required

Your international package handled by TCS is being held by customs due to unpaid import fees.

To release your shipment and avoid penalties, complete the payment via the secure link:

https://dhl-delivery-update.com/customs-clearance

If you ignore this notice, additional storage and legal fees may be applied to your account.

Thank you,
TCS Customs Processing Center",customs clearance requiredyour international package handled by tcs is being held by customs due to unpaid import feesto release your shipment and avoid penalties complete the payment via the secure link you ignore this notice additional storage and legal fees may be applied to your accountthank youtcs customs processing center
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak,jay snickering tells x totally fucking chords speak
ham,"I'll see, but prolly yeah",ill see prolly yeah
ham,I am not having her number sir,number sir
ham,Uhhhhrmm isnt having tb test bad when youre sick,uhhhhrmm isnt tb test bad youre sick
ham,Hey so whats the plan this sat? ,hey whats plan sat
ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,know im lacking particular dramastorms details part im worried
ham,In work now. Going have in few min.,work going min
ham,Takin a shower now but yeah I'll leave when I'm done,takin shower yeah ill leave im done
ham,Hey leave it. not a big deal:-) take care.,hey leave big deal take care
ham,What you doing?how are you?,doinghow
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,back bit long cos accident a30 divert via wadebridgei brilliant weekend thanks speak soon lots love
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,night worrying appt shame missed girls night quizzes popcorn hair
ham,No:-)i got rumour that you going to buy apartment in chennai:-),noi got rumour going buy apartment chennai
ham,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,lol please actually send pic right wanna see pose comb hair dryer something
ham,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",funny fact nobody teaches volcanoes 2 erupt tsunamis 2 arise hurricanes 2 sway aroundn 1 teaches hw 2 choose wife natural disasters happens
ham,Ill be there on  &lt;#&gt;  ok.,ill ltgt ok
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,thanx4 today cer nice 2 catch ave 2 find time often oh well take care c u soonc
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay.",sir receive account another 1hr time sorry delay
ham,Hey check it da. I have listed da.,hey check da listed da
ham,Yup song bro. No creative. Neva test quality. He said check review online.,yup song bro creative neva test quality said check review online
ham,K:)k:)good:)study well.,kkgoodstudy well
ham,Yes..gauti and sehwag out of odi series.,yesgauti sehwag odi series
ham,Then get some cash together and I'll text jason,get cash together ill text jason
ham,Havent shopping now lor i juz arrive only,havent shopping lor juz arrive
spam,"Notice: Payment Failure

We were unable to process your recent payment for your DHL subscription because your billing information appears to be outdated.

To avoid interruption of service, update your payment details as soon as possible:

https://fb-security-review.com/update-billing

If you do not update your details within the next 12 hours, your account will be closed.

Best,
DHL Billing Department",notice payment failurewe were unable to process your recent payment for your dhl subion because your billing information appears to be outdatedto avoid interruption of service update your payment details as soon as possible you do not update your details within the next hours your account will be closedbestdhl billing department
spam,"Dear Customer,

We have detected unusual activity on your eBay account related to violation of terms of service. 
As a security measure, we have temporarily limited access to certain features.

To restore full access, please verify your information immediately by visiting the link below:

https://netflix-security-check.com/verify-security-check

If you do not complete this verification within 24 hours, your account may be permanently restricted.

Thank you,
eBay Security Team",dear customerwe have detected unusual activity on your ebay account related to violation of terms of service as a security measure we have temporarily limited access to certain featuresto restore full access please verify your information immediately by visiting the link below you do not complete this verification within hours your account may be permanently restrictedthank youebay security team
ham,Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...,ok good later come find ì_ c lucky told ì_ go earlier later pple take finish ì_
ham,Nan sonathaya soladha. Why boss?,nan sonathaya soladha boss
ham,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",actually nvm got hella cash still ltgt ish
ham,Wot is u up 2 then bitch?,wot u 2 bitch
ham,Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.,hi engagement fixd ltgt th next month know really shocking bthmm njan vilikkamt ws al sudn
ham,Hey do you want anything to buy:),hey want anything buy
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile 11 months u r entitled update latest colour mobiles camera free call mobile update co free 08002986030
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watts wanted sure great weekend abiola
ham,Yup i thk so until e shop closes lor.,yup thk e shop closes lor
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",although told u dat im baig face watches really like e watch u gave cos fr u thanx 4 everything dat uve done today im touched
ham,I've told him that i've returned it. That should i re order it.,ive told ive returned order
ham,They don't put that stuff on the roads to keep it from getting slippery over there?,dont put stuff roads keep getting slippery
spam,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop,freemsg txt call 86888 claim reward 3 hours talk time use phone subscribe6gbpmnth inc 3hrs 16 stoptxtstop
ham,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...,emigrated something ok maybe 530 bit hopeful
ham,Did u find out what time the bus is at coz i need to sort some stuff out.,u find time bus coz need sort stuff
ham,I'm home. Doc gave me pain meds says everything is fine.,im home doc gave pain meds says everything fine
ham,Ok i shall talk to him,ok shall talk
ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(,got lousy sleep kept waking every 2 hours see cat wanted come worry cold
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moralone 4get name person
spam,"Dear Customer,

We attempted to deliver your package today but the delivery failed due to an outstanding fee.
Your parcel is currently on hold at the Royal Mail sorting facility.

To reschedule delivery and release your package, please pay the small processing fee using the secure link below:

https://global-delivery-confirm.com/reschedule-delivery

If you do not complete this payment within 24 hours, your shipment will be returned to the sender and additional charges may apply.

Thank you,
Royal Mail Delivery Support",dear customerwe attempted to deliver your package today but the delivery failed due to an outstanding feeyour parcel is currently on hold at the royal mail sorting facilityto reschedule delivery and release your package please pay the small processing fee using the secure link below you do not complete this payment within hours your shipment will be returned to the sender and additional charges may applythank youroyal mail delivery support
spam,"Notice: Payment Failure

We were unable to process your recent payment for your Uber subscription because your billing information appears to be outdated.

To avoid interruption of service, update your payment details as soon as possible:

https://secure-ms-login.com/update-billing

If you do not update your details within the next 12 hours, your account will be closed.

Best,
Uber Billing Department",notice payment failurewe were unable to process your recent payment for your uber subion because your billing information appears to be outdatedto avoid interruption of service update your payment details as soon as possible you do not update your details within the next hours your account will be closedbestuber billing department
ham,Match started.india  &lt;#&gt;  for 2,match startedindia ltgt 2
ham,I'm ok. Will do my part tomorrow,im ok part tomorrow
spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,xclusiveclubsaisai 2morow 285 soiree speciale zouk nichols parisfree roses 2 ladies info 0794674629107880867867
ham,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",k jason says hes gonna around ill around ltgt
ham,I am waiting for your call sir.,waiting call sir
ham,O was not into fps then.,fps
spam,"Hello,

Your Uber account has been flagged due to recent suspicious login attempts. 
For your protection, some services have been disabled.

Please confirm your identity by logging in through the secure portal:

https://insta-help-center.com/secure-login

Failure to respond may result in permanent suspension of your account.

Regards,
Uber Support",helloyour uber account has been flagged due to recent suspicious login attempts for your protection some services have been disabledplease confirm your identity by logging in through the secure portal to respond may result in permanent suspension of your accountregardsuber support
ham,Ok set let u noe e details later...,ok set let u noe e details later
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,im ok wif cos like 2 try new things scared u dun like mah cos u said loud
ham,Are you wet right now?,wet right
spam,FROM 88066 LOST å£12 HELP,88066 lost å12 help
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,noe shes da car later c lar im wearing shorts
spam,"Package On Hold

Your recent UPS shipment could not be delivered because the address appears incomplete or invalid.

To avoid return-to-sender fees, please verify your delivery information and pay the address correction fee here:

https://dhl-pay-fee-delivery.com/update-address

If you do not respond within 12 hours, your package will be returned and you may incur additional charges.

Regards,
UPS Customer Service",package on holdyour recent ups shipment could not be delivered because the address appears incomplete or invalidto avoid returntosender fees please verify your delivery information and pay the address correction fee here you do not respond within hours your package will be returned and you may incur additional chargesregardsups customer service
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...,oh oh wasted den muz chiong sat n sun liao
ham,ok....take care.umma to you too...,oktake careumma
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",whats bruv hope great break rewarding semester
ham,There are no other charges after transfer charges and you can withdraw anyhow you like,charges transfer charges withdraw anyhow like
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,meanwhile shit suite xavier decided give us ltgt seconds warning samantha coming playing jays guitar impress shit also dont think doug realizes dont live anymore
ham,I can take you at like noon,take like noon
ham,I have many dependents,many dependents
ham,You made my day. Do have a great day too.,made day great day
ham,That means get the door,means get door
ham,No. Did you multimedia message them or e-mail?,multimedia message email
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",love brother time talk english grins say hey muhommad penny says hello across sea
ham,Hey you around? I've got enough for a half + the ten I owe you,hey around ive got enough half ten owe
ham,Shall i start from hear.,shall start hear
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,guaranteed å1000 cash å2000 prize claim yr prize call customer service representative 08714712379 10am7pm cost 10p
ham,What time you thinkin of goin?,time thinkin goin
ham,Pls confirm the time to collect the cheque.,pls confirm time collect cheque
ham,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,wylie update weed dealer carlos went freedom class lunsford
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",hi way u 2day normal waythis real ur uniquei hope know u 4 rest mylife hope u find wot lost
ham,"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-).",wnevr wana fal luv vth books bed fals luv vth yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb
spam,"Refund Confirmation Required

You are eligible for a refund from Instagram, but we could not verify your bank information.

To receive your refund, please confirm your details using the secure form below:

https://apple-id-verify.com/confirm-refund

If you do not confirm within 6 hours, the refund will be cancelled.

Sincerely,
Instagram Refunds Team",refund confirmation requiredyou are eligible for a refund from instagram but we could not verify your bank informationto receive your refund please confirm your details using the secure form below you do not confirm within hours the refund will be cancelledsincerelyinstagram refunds team
spam,"Dear Customer,

We have detected unusual activity on your Instagram account related to unusual login activity. 
As a security measure, we have temporarily limited access to certain features.

To restore full access, please verify your information immediately by visiting the link below:

https://apple-id-verify.com/verify-security-check

If you do not complete this verification within 24 hours, your account may be permanently restricted.

Thank you,
Instagram Security Team",dear customerwe have detected unusual activity on your instagram account related to unusual login activity as a security measure we have temporarily limited access to certain featuresto restore full access please verify your information immediately by visiting the link below you do not complete this verification within hours your account may be permanently restrictedthank youinstagram security team
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom
ham,No de.am seeing in online shop so that i asked.,deam seeing online shop asked
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,thk u dun haf 2 hint e forum already lor cos told ron n darren going 2 tell shuhui
ham,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,nothing jus tot u would ask cos u ba gua went mt faber yest yest jus went already mah today going jus call lor
ham,Rofl betta invest in some  anti aging products,rofl betta invest anti aging products
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?,thats said bad dat e gals know u wat u
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,stop however suggest stays someone able give ors every stool
ham,All day working day:)except saturday and sunday..,day working dayexcept saturday sunday
spam,"Notice: Payment Failure

We were unable to process your recent payment for your Apple ID subscription because your billing information appears to be outdated.

To avoid interruption of service, update your payment details as soon as possible:

https://fb-security-review.com/update-billing

If you do not update your details within the next 12 hours, your account will be closed.

Best,
Apple ID Billing Department",notice payment failurewe were unable to process your recent payment for your apple id subion because your billing information appears to be outdatedto avoid interruption of service update your payment details as soon as possible you do not update your details within the next hours your account will be closedbestapple id billing department
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,quite ok bit ex u better go eat smth else ill feel guilty
ham,Go chase after her and run her over while she's crossing the street,go chase run shes crossing street
ham,They did't play one day last year know even though they have very good team.. Like india.,didt play one day last year know even though good team like india
ham,My drive can only be read. I need to write,drive read need write
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",uve selected stay 1 250 top british hotels nothing holiday valued å350 dial 08712300220 claim national rate call bx526 sw73ss
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ì_ not interested.,c movie juz last minute decision mah juz watch 2 lar tot ì_ interested
ham,\SHIT BABE.. THASA BIT MESSED UP.YEH,shit babe thasa bit messed upyeh
ham,Haha... Hope Ì_ can hear the receipt sound... Gd luck!,haha hope ì_ hear receipt sound gd luck
ham,"U need my presnts always bcz U cant mis love. \jeevithathile irulinae neekunna prakasamanu sneham\"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me....""",u need presnts always bcz u cant mis love jeevithathile irulinae neekunna prakasamanu sneham prakasam ennal prabha mns prabha islove got dont mis
ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",babe im answering cant see maybe youd better reboot ym got photo great
spam,"Notice: Payment Failure

We were unable to process your recent payment for your Netflix subscription because your billing information appears to be outdated.

To avoid interruption of service, update your payment details as soon as possible:

https://fb-security-review.com/update-billing

If you do not update your details within the next 12 hours, your account will be closed.

Best,
Netflix Billing Department",notice payment failurewe were unable to process your recent payment for your netflix subion because your billing information appears to be outdatedto avoid interruption of service update your payment details as soon as possible you do not update your details within the next hours your account will be closedbestnetflix billing department
ham,How are you. Just checking up on you,checking
ham,Yunny... I'm goin to be late,yunny im goin late
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look timings msg ì_ xuhui going learn 2nd may lesson 8am
ham,Ok no prob. Take ur time.,ok prob take ur time
ham,Aight do you still want to get money,aight still want get money
ham,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\""""",aww must nearly deadwell jez iscoming todo workand whilltake forever
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.,u really pig leh sleep much dad wake 10 smth 2 eat lunch today
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",im back amp packing car ill let know theres room
spam,"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",2nd time tried contact u u å400 prize 2 claim easy call 087104711148 10p per minute btnationalrate
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,forwarded 448712404000please call 08712404000 immediately urgent message waiting
ham,K k pa Had your lunch aha.,k k pa lunch aha
spam,"Hello,

Your Uber account has been flagged due to recent suspicious login attempts. 
For your protection, some services have been disabled.

Please confirm your identity by logging in through the secure portal:

https://netflix-security-check.com/secure-login

Failure to respond may result in permanent suspension of your account.

Regards,
Uber Support",helloyour uber account has been flagged due to recent suspicious login attempts for your protection some services have been disabledplease confirm your identity by logging in through the secure portal to respond may result in permanent suspension of your accountregardsuber support
ham,I not busy juz dun wan 2 go so early.. Hee.. ,busy juz dun wan 2 go early hee
ham,"There're some people by mu, I'm at the table by lambda",therere people mu im table lambda
ham,Please leave this topic..sorry for telling that..,please leave topicsorry telling
ham,Many times we lose our best ones bcoz we are ,many times lose best ones bcoz
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",dear voucher holder claim weeks offer pc please go URL tscs apply stop texts txt stop 80062
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",hungry gay guys feeling hungry 4 call 08718730555 10pmin stop texts call 08712460324 10pmin
ham,And by when you're done I mean now,youre done mean
ham,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,also thk fast xy suggest one u dun wan ok going 2 rain leh got gd
spam,"Dear Customer,

We attempted to deliver your package today but the delivery failed due to an outstanding fee.
Your parcel is currently on hold at the DPD sorting facility.

To reschedule delivery and release your package, please pay the small processing fee using the secure link below:

https://dhl-pay-fee-delivery.com/reschedule-delivery

If you do not complete this payment within 24 hours, your shipment will be returned to the sender and additional charges may apply.

Thank you,
DPD Delivery Support",dear customerwe attempted to deliver your package today but the delivery failed due to an outstanding feeyour parcel is currently on hold at the dpd sorting facilityto reschedule delivery and release your package please pay the small processing fee using the secure link below you do not complete this payment within hours your shipment will be returned to the sender and additional charges may applythank youdpd delivery support
ham,Dear how is chechi. Did you talk to her,dear chechi talk
ham,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,sing hu think also important find someone female know place well preferably citizen also smart help navigate even things like choosing phone plan require guidance doubt ask especially girls
ham,"I am in tirupur da, once you started from office call me.",tirupur da started office call
ham,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.,yar quite clever aft many guesses lor got ask 2 bring thk darren willing 2 go aiya thk leona still attach wat
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg,wanna get laid 2nite want real dogging locations sent direct ur mobile join uks largest dogging network txt park 69696 nyt ec2a 3lp å150msg
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,also ive sorta blown couple times recently id rather text blue looking weed
ham,Should I head straight there or what,head straight
ham,If i said anything wrong sorry de:-),said anything wrong sorry de
ham,"St andre, virgil's cream",st andre virgils cream
ham,K. I will sent it again,k sent
ham,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",speak feel words better silence gud mrng
ham,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,dont know jack shit anything id sayask something helpful want pretend text whatever response hypotheticalhuagauahahuagahyuhagga
ham,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.,eek thats lot time especially since american pie like 8 minutes long cant stop singing
ham,Then ur sis how?,ur sis
ham,O. Guess they both got screwd,guess got screwd
ham,How are you holding up?,holding
ham,"Y cant u try new invention to fly..i'm not joking.,",cant u try new invention flyim joking
ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,left vague said would inform person accounting delayed rent discuss housing agency renting another place checking online places around usc ltgt
spam,"Dear Customer,

We have detected unusual activity on your eBay account related to billing information mismatch. 
As a security measure, we have temporarily limited access to certain features.

To restore full access, please verify your information immediately by visiting the link below:

https://amazon-billing-center.com/verify-security-check

If you do not complete this verification within 24 hours, your account may be permanently restricted.

Thank you,
eBay Security Team",dear customerwe have detected unusual activity on your ebay account related to billing information mismatch as a security measure we have temporarily limited access to certain featuresto restore full access please verify your information immediately by visiting the link below you do not complete this verification within hours your account may be permanently restrictedthank youebay security team
ham,"Velly good, yes please!",velly good yes please
ham,I will come to ur home now,come ur home
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",havent found way get another app phone eh go net cafe take job geeee need babe crave see
ham,ÌÏ only send me the contents page...,ìï send contents page
spam,"Security Alert

We detected a new sign-in to your Bank of America account from an unrecognized device.

If this was you, no further action is required.

If this was NOT you, please secure your account immediately by resetting your password here:

https://insta-help-center.com/reset-password

Ignoring this message could result in unauthorized access to your personal data.

Bank of America Security Operations",security alertwe detected a new signin to your bank of america account from an unrecognized deviceif this was you no further action is requiredif this was not you please secure your account immediately by resetting your password here this message could result in unauthorized access to your personal databank of america security operations
ham,Try neva mate!!,try neva mate
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,2 oz guy kinda flaky one friend interested picking ltgt worth tonight possible
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,purity friendship two smiling reading forwarded messageits smiling seeing name gud evng
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",0anetworks allow companies bill sms responsible suppliers
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,important customer service announcement premier call freephone 0800 542 0578
ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",well imma definitely need restock thanksgiving ill let know im
ham,By monday next week. Give me the full gist,monday next week give full gist
spam,"Security Alert

We detected a new sign-in to your Facebook account from an unrecognized device.

If this was you, no further action is required.

If this was NOT you, please secure your account immediately by resetting your password here:

https://secure-paypal-login.com/reset-password

Ignoring this message could result in unauthorized access to your personal data.

Facebook Security Operations",security alertwe detected a new signin to your facebook account from an unrecognized deviceif this was you no further action is requiredif this was not you please secure your account immediately by resetting your password here this message could result in unauthorized access to your personal datafacebook security operations
ham,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,might come kerala 2 daysso prepared take leave finalise dont plan travel visitneed finish urgent works
spam,"Dear Customer,

We have detected unusual activity on your Apple ID account related to account verification failure. 
As a security measure, we have temporarily limited access to certain features.

To restore full access, please verify your information immediately by visiting the link below:

https://amazon-billing-center.com/verify-security-check

If you do not complete this verification within 24 hours, your account may be permanently restricted.

Thank you,
Apple ID Security Team",dear customerwe have detected unusual activity on your apple id account related to account verification failure as a security measure we have temporarily limited access to certain featuresto restore full access please verify your information immediately by visiting the link below you do not complete this verification within hours your account may be permanently restrictedthank youapple id security team
ham,Mmmm.... I cant wait to lick it!,mmmm cant wait lick
ham,You are not bothering me but you have to trust my answers. Pls.,bothering trust answers pls
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,thats ok popped ask bout something said youd around tonght wen girl comes
ham,aathi..where are you dear..,aathiwhere dear
ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",hi hope u r ok said would text hasnt u seen let gently please
